"Label (Grouping)","Bronx borough, Bronx County, New York!!Total!!Estimate","Bronx borough, Bronx County, New York!!Total!!Margin of Error","Bronx borough, Bronx County, New York!!Percent!!Estimate","Bronx borough, Bronx County, New York!!Percent!!Margin of Error","Bronx borough, Bronx County, New York!!Male!!Estimate","Bronx borough, Bronx County, New York!!Male!!Margin of Error","Bronx borough, Bronx County, New York!!Percent Male!!Estimate","Bronx borough, Bronx County, New York!!Percent Male!!Margin of Error","Bronx borough, Bronx County, New York!!Female!!Estimate","Bronx borough, Bronx County, New York!!Female!!Margin of Error","Bronx borough, Bronx County, New York!!Percent Female!!Estimate","Bronx borough, Bronx County, New York!!Percent Female!!Margin of Error","Brooklyn borough, Kings County, New York!!Total!!Estimate","Brooklyn borough, Kings County, New York!!Total!!Margin of Error","Brooklyn borough, Kings County, New York!!Percent!!Estimate","Brooklyn borough, Kings County, New York!!Percent!!Margin of Error","Brooklyn borough, Kings County, New York!!Male!!Estimate","Brooklyn borough, Kings County, New York!!Male!!Margin of Error","Brooklyn borough, Kings County, New York!!Percent Male!!Estimate","Brooklyn borough, Kings County, New York!!Percent Male!!Margin of Error","Brooklyn borough, Kings County, New York!!Female!!Estimate","Brooklyn borough, Kings County, New York!!Female!!Margin of Error","Brooklyn borough, Kings County, New York!!Percent Female!!Estimate","Brooklyn borough, Kings County, New York!!Percent Female!!Margin of Error","Manhattan borough, New York County, New York!!Total!!Estimate","Manhattan borough, New York County, New York!!Total!!Margin of Error","Manhattan borough, New York County, New York!!Percent!!Estimate","Manhattan borough, New York County, New York!!Percent!!Margin of Error","Manhattan borough, New York County, New York!!Male!!Estimate","Manhattan borough, New York County, New York!!Male!!Margin of Error","Manhattan borough, New York County, New York!!Percent Male!!Estimate","Manhattan borough, New York County, New York!!Percent Male!!Margin of Error","Manhattan borough, New York County, New York!!Female!!Estimate","Manhattan borough, New York County, New York!!Female!!Margin of Error","Manhattan borough, New York County, New York!!Percent Female!!Estimate","Manhattan borough, New York County, New York!!Percent Female!!Margin of Error","Queens borough, Queens County, New York!!Total!!Estimate","Queens borough, Queens County, New York!!Total!!Margin of Error","Queens borough, Queens County, New York!!Percent!!Estimate","Queens borough, Queens County, New York!!Percent!!Margin of Error","Queens borough, Queens County, New York!!Male!!Estimate","Queens borough, Queens County, New York!!Male!!Margin of Error","Queens borough, Queens County, New York!!Percent Male!!Estimate","Queens borough, Queens County, New York!!Percent Male!!Margin of Error","Queens borough, Queens County, New York!!Female!!Estimate","Queens borough, Queens County, New York!!Female!!Margin of Error","Queens borough, Queens County, New York!!Percent Female!!Estimate","Queens borough, Queens County, New York!!Percent Female!!Margin of Error","Staten Island borough, Richmond County, New York!!Total!!Estimate","Staten Island borough, Richmond County, New York!!Total!!Margin of Error","Staten Island borough, Richmond County, New York!!Percent!!Estimate","Staten Island borough, Richmond County, New York!!Percent!!Margin of Error","Staten Island borough, Richmond County, New York!!Male!!Estimate","Staten Island borough, Richmond County, New York!!Male!!Margin of Error","Staten Island borough, Richmond County, New York!!Percent Male!!Estimate","Staten Island borough, Richmond County, New York!!Percent Male!!Margin of Error","Staten Island borough, Richmond County, New York!!Female!!Estimate","Staten Island borough, Richmond County, New York!!Female!!Margin of Error","Staten Island borough, Richmond County, New York!!Percent Female!!Estimate","Staten Island borough, Richmond County, New York!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","134,407","±838","(X)","(X)","68,231","±487","(X)","(X)","66,176","±431","(X)","(X)","198,485","±255","(X)","(X)","96,974","±217","(X)","(X)","101,511","±149","(X)","(X)","131,835","±418","(X)","(X)","58,293","±286","(X)","(X)","73,542","±299","(X)","(X)","167,921","±1,191","(X)","(X)","84,368","±1,008","(X)","(X)","83,553","±457","(X)","(X)","40,409","±342","(X)","(X)","20,643","±229","(X)","(X)","19,766","±114","(X)","(X)"
"        Less than high school graduate","22,014","±3,049","16.4%","±2.3","11,892","±2,192","17.4%","±3.2","10,122","±1,990","15.3%","±3.0","22,354","±2,844","11.3%","±1.4","13,871","±2,294","14.3%","±2.4","8,483","±1,757","8.4%","±1.7","6,654","±1,574","5.0%","±1.2","4,148","±1,068","7.1%","±1.8","2,506","±1,145","3.4%","±1.6","17,411","±2,034","10.4%","±1.2","10,778","±1,687","12.8%","±2.0","6,633","±1,166","7.9%","±1.4","3,182","±1,018","7.9%","±2.5","1,523","±676","7.4%","±3.3","1,659","±847","8.4%","±4.3"
"        High school graduate (includes equivalency)","43,412","±3,907","32.3%","±2.9","24,142","±2,889","35.4%","±4.3","19,270","±2,621","29.1%","±4.0","59,005","±4,339","29.7%","±2.2","32,707","±3,014","33.7%","±3.1","26,298","±2,706","25.9%","±2.7","33,088","±3,684","25.1%","±2.8","15,123","±2,218","25.9%","±3.8","17,965","±2,556","24.4%","±3.5","45,580","±3,277","27.1%","±1.9","23,636","±2,357","28.0%","±2.8","21,944","±2,214","26.3%","±2.7","9,209","±1,654","22.8%","±4.1","6,497","±1,507","31.5%","±7.3","2,712","±782","13.7%","±4.0"
"        Some college or associate's degree","56,237","±3,881","41.8%","±2.8","27,570","±3,093","40.4%","±4.5","28,667","±2,680","43.3%","±4.0","73,348","±4,999","37.0%","±2.5","33,621","±3,410","34.7%","±3.5","39,727","±3,260","39.1%","±3.2","47,983","±4,001","36.4%","±3.0","21,998","±2,747","37.7%","±4.7","25,985","±3,207","35.3%","±4.4","73,109","±4,030","43.5%","±2.4","37,291","±2,857","44.2%","±3.4","35,818","±2,744","42.9%","±3.3","19,218","±2,388","47.6%","±5.9","9,271","±1,660","44.9%","±8.1","9,947","±1,580","50.3%","±8.0"
"        Bachelor's degree or higher","12,744","±2,205","9.5%","±1.6","4,627","±1,406","6.8%","±2.1","8,117","±1,693","12.3%","±2.6","43,778","±3,848","22.1%","±1.9","16,775","±2,374","17.3%","±2.4","27,003","±2,787","26.6%","±2.7","44,110","±3,627","33.5%","±2.7","17,024","±2,547","29.2%","±4.4","27,086","±2,698","36.8%","±3.7","31,821","±2,879","18.9%","±1.7","12,663","±1,753","15.0%","±2.0","19,158","±1,996","22.9%","±2.4","8,800","±1,911","21.8%","±4.7","3,352","±1,209","16.2%","±5.8","5,448","±1,350","27.6%","±6.8"
"    Population 25 years and over","941,302","±672","(X)","(X)","429,031","±637","(X)","(X)","512,271","±669","(X)","(X)","1,842,478","±450","(X)","(X)","853,276","±502","(X)","(X)","989,202","±475","(X)","(X)","1,213,339","±330","(X)","(X)","575,112","±366","(X)","(X)","638,227","±409","(X)","(X)","1,698,378","±1,191","(X)","(X)","817,510","±822","(X)","(X)","880,868","±646","(X)","(X)","346,022","±342","(X)","(X)","165,874","±188","(X)","(X)","180,148","±327","(X)","(X)"
"        Less than 9th grade","117,224","±8,384","12.5%","±0.9","50,003","±5,136","11.7%","±1.2","67,221","±5,488","13.1%","±1.1","154,514","±7,750","8.4%","±0.4","68,322","±5,017","8.0%","±0.6","86,192","±4,471","8.7%","±0.5","70,108","±6,919","5.8%","±0.6","31,145","±4,266","5.4%","±0.7","38,963","±3,990","6.1%","±0.6","179,118","±8,505","10.5%","±0.5","84,675","±5,170","10.4%","±0.6","94,443","±5,333","10.7%","±0.6","16,612","±2,862","4.8%","±0.8","7,755","±1,827","4.7%","±1.1","8,857","±1,556","4.9%","±0.9"
"        9th to 12th grade, no diploma","109,210","±7,276","11.6%","±0.8","49,786","±4,986","11.6%","±1.2","59,424","±5,041","11.6%","±1.0","129,417","±7,227","7.0%","±0.4","64,136","±4,572","7.5%","±0.5","65,281","±5,337","6.6%","±0.5","58,419","±5,381","4.8%","±0.4","27,793","±3,940","4.8%","±0.7","30,626","±3,658","4.8%","±0.6","122,549","±7,229","7.2%","±0.4","59,116","±4,678","7.2%","±0.6","63,433","±5,037","7.2%","±0.6","17,537","±2,265","5.1%","±0.7","9,629","±1,781","5.8%","±1.1","7,908","±1,564","4.4%","±0.9"
"        High school graduate (includes equivalency)","257,067","±9,979","27.3%","±1.1","129,253","±7,158","30.1%","±1.7","127,814","±6,612","25.0%","±1.3","435,924","±11,784","23.7%","±0.6","209,725","±7,059","24.6%","±0.8","226,199","±8,453","22.9%","±0.9","148,395","±8,242","12.2%","±0.7","72,606","±6,341","12.6%","±1.1","75,789","±5,492","11.9%","±0.9","433,322","±12,769","25.5%","±0.8","216,141","±7,345","26.4%","±0.9","217,181","±8,604","24.7%","±1.0","104,240","±5,202","30.1%","±1.5","50,316","±3,883","30.3%","±2.3","53,924","±3,932","29.9%","±2.2"
